price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
1.6,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.63,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.09,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.89,0.5,50.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.5033014178772158,50.33014178772158,0.0,0.0,0.3301417877215788,0.0,-0.7377600000000001,-0.7377600000000001,0.34800000000000003,0.34800000000000003,0.0,0.0,0.34800000000000003,0.7377600000000001,0.34800000000000003,0.7377600000000001,0.0,0.0
3.54,0.5594255217898843,55.94255217898842,0.0,0.0,5.612410391266839,0.0,-20.942639999999997,-21.6804,5.9159999999999995,5.9159999999999995,0.0,0.0,5.9159999999999995,20.942639999999997,5.9159999999999995,20.942639999999997,0.0,0.0
