price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
1.6,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.63,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.09,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.47,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.0,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.76,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.79,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1.89,0.5,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.5035575623676894,1.007115124735379,0.0,0.0,0.007115124735378853,0.0,-0.005550000000000003,-0.005550000000000003,-0.005550000000000003,0.0075,0.0075,0.0,0.0,0.0075,0.005550000000000001,0.0075,0.005550000000000001,0.0,0.0
3.54,0.5640361226184097,1.1280722452368195,0.0,0.0,0.1209571205014405,0.0,-0.27540000000000003,-0.27540000000000003,-0.28095000000000003,0.1275,0.1275,0.0,0.0,0.1275,0.27540000000000003,0.1275,0.27540000000000003,0.0,0.0
3.7,0.7158254503064919,1.4316509006129838,0.0,0.0,0.3035786553761644,0.0,-0.7424000000000002,-0.7424000000000002,-1.0233500000000002,0.32,0.32,0.0,0.0,0.32,0.7424000000000001,0.32,0.7424000000000001,0.0,0.0
3.75,0.8972611310586527,1.7945222621173054,0.0,0.0,0.36287136150432153,0.0,-0.906525,-0.906525,-1.9298750000000002,0.3825,0.3825,0.0,0.0,0.3825,0.906525,0.3825,0.906525,0.0,0.0
3.81,1.0,2.0,0.0,0.0,0.20547773788269463,0.0,-0.5263199047363871,-0.5263199047363871,-2.456194904736387,0.3175,0.21659255338945974,0.0,0.0,0.3175,0.771525,0.3175,0.771525,0.10090744661054027,0.10090744661054027
5.37,1.0,2.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2.456194904736387,0.14250000000000002,0.0,0.0,0.0,0.14250000000000002,0.568575,0.14250000000000002,0.568575,0.14250000000000002,0.14250000000000002
12.28,1.0,2.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2.456194904736387,0.005,0.0,0.0,0.0,0.005,0.05449999999999999,0.005,0.05449999999999999,0.005,0.005
19.72,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.18,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.44,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.2,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.73,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.05,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.01,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.456194904736387,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
