price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh,bess_additional_export_mwh,profile_charge_mwh,profile_discharge_mwh
1.38,0.5,50.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.5,50.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.5,50.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8839368447043776,88.39368447043776,40.47049689747299,0.0,38.39368447043776,0.0,-397.01557456421,-397.01557456421,-397.01557456421,0.0,0.0,40.47049689747299,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.8839368447043776,88.39368447043776,0.0,0.0,-0.0,0.0,0.0,0.0,-397.01557456421,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.8839368447043776,88.39368447043776,0.0,0.0,-0.0,0.0,0.0,0.0,-397.01557456421,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.8839368447043776,88.39368447043776,0.0,0.0,-0.0,0.0,0.0,0.0,-397.01557456421,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.8839368447043776,88.39368447043776,0.0,0.0,-0.0,0.0,0.0,0.0,-397.01557456421,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.8839368447043776,88.39368447043776,0.0,0.0,-0.0,0.0,0.0,0.0,-397.01557456421,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.43,0.887904648467483,88.79046484674829,0.0,0.0,0.3967803763105326,0.0,-1.275641882,-1.275641882,-398.29121644621,0.41824324,0.41824324,0.0,0.0,0.41824324,1.275641882,0.41824324,1.275641882,0.0,0.0,-0.41824324,0.396780376,0.0
